This is the collection of GM vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2016 Chevrolet Spark LT B TM	4	1.4	manual	gasolina	5
2005 Chevrolet Suburban (T) C	8	5.3	automático	gasolina premium	5
2017 Chevrolet Suburban LT C	8	5.3	automático	gasolina	5
2017 GMC Yukon Denali Quemacocos D	8	6.2	automático	gasolina premium	5
2004 Chevrolet Avalanche 4x4 C	8	5.3	automático	gasolina premium	4
2015 Chevrolet Aveo A LS Manual	4	1.6	manual	gasolina	4
2010 Chevrolet Aveo AT C	4	1.6	automático	gasolina premium	4
2009 Chevrolet Cheyenne 2500 Cheyenne Cab Ext 4X4 F	8	5.3	automático	gasolina premium	4
2008 Chevrolet Colorado Doble Cabina A	4	2.9	automático	gasolina premium	4
2017 Chevrolet Equinox Premier F	4	2.4	automático	gasolina	5
2013 Chevrolet Sonic TA F	4	1.6	automático	gasolina	4
2015 Chevrolet Spark LS A TM	4	1.2	manual	gasolina	5
2013 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
