This is the collection of BMW vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2006 BMW Serie 7 750i A	8	4.8	automático	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 1 130i Manual	6	3	manual	gasolina premium	5
2006 BMW X3 2.5iA AT	6	2.5	automático	gasolina premium	5
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X3 2.5i MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X5 3.0i AT Top Line	6	3	automático	gasolina premium	5
2006 BMW Serie 1 130i Manual	6	3	manual	gasolina premium	5
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW X5 4.8is	8	4.8	automático	gasolina premium	5
2006 BMW Serie 5 530iA Lujo	6	3	automático	gasolina premium	4
2006 BMW Serie 1 130i Manual	6	3	manual	gasolina premium	5
2006 BMW Serie 1 120iA Automatico	4	2	automático	gasolina premium	5
2006 BMW Serie 5 530i A Top Active Dynamic	6	3	automático	gasolina premium	4
2006 BMW X5 3.0i AT Lujo	6	3	automático	gasolina premium	5
2006 BMW X3 3.0iA AT	6	3	automático	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325CiA Cabrio Fórmula 1	6	2.5	automático	gasolina premium	2
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW X5 3.0i AT Lujo	6	3	automático	gasolina premium	5
2006 BMW X5 4.8is	8	4.8	automático	gasolina premium	5
2006 MINI MINI Cooper S Chili AT	4	1.6	automático	gasolina premium	3
2006 BMW Serie 5 530i A Top	6	3	automático	gasolina premium	4
2006 BMW Serie 1 120iA Automatico	4	2	automático	gasolina premium	5
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 1 120iA Dynamic Automatico	4	2	automático	gasolina premium	5
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW X5 3.0i AT Top Line	6	3	automático	gasolina premium	5
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 1 120iA Automatico	4	2	automático	gasolina premium	5
2006 BMW Serie 3 325i Business	6	2.5	manual	gasolina premium	4
2006 BMW Series 1 120iA Dynamic Automatico	4	2	automático	gasolina premium	5
2006 MINI MINI Cooper Pepper	4	1.6	manual	gasolina premium	3
2006 BMW X5 4.4i AT Top Line	8	4.4	automático	gasolina premium	5
2006 MINI MINI Cooper S Convertible Chili AT	4	1.6	automático	gasolina premium	2
2006 BMW X3 2.5iA Lujo AT	6	2.5	automático	gasolina premium	5
2006 MINI MINI (O) Cooper S Hot Chili AT	4	1.6	automático	gasolina premium	3
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2006 BMW Serie 1 120i Dynamic Manual	4	2	manual	gasolina premium	5
2006 BMW Serie 3 325Ci	6	2.5	manual	gasolina premium	2
2006 BMW Serie 5 530i A Fórmula 1	6	3	automático	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 3 325iA Progressive	6	2.5	automático	gasolina premium	4
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 1 120i Dynamic Manual	4	2	manual	gasolina premium	5
2006 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW X3 2.5iA Lujo AT	6	2.5	automático	gasolina premium	5
2006 MINI MINI Cooper S Convertible Hot Chili	4	1.6	manual	gasolina premium	2
2006 BMW X5 4.4i AT Fórmula 1	8	4.4	automático	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 1 120i Dynamic Manual	4	2	manual	gasolina premium	5
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Z4 2.5I SMG	6	2.5	manual	gasolina premium	2
2006 BMW Serie 6 M6	10	5	manual	gasolina premium	2
2006 BMW Serie 5 530i A Fórmula 1	6	3	automático	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 5 530i A Top	6	3	automático	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 3 330iA	6	3	automático	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 MINI MINI Cooper S Hot Chili	4	1.6	manual	gasolina premium	3
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 MINI MINI Cooper S Hot Chili AT	4	1.6	automático	gasolina premium	3
2006 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 BMW Serie 5 525i A Top	6	2.5	automático	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325iA Premium	6	2.5	automático	gasolina premium	4
2006 BMW Serie 7 750Li A Sport	8	4.8	automático	gasolina premium	4
2006 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2006 BMW Serie 5 525iA Lujo	6	2.5	automático	gasolina premium	4
2006 BMW Serie 5 530i A Top Active Dynamic	6	3	automático	gasolina premium	4
2006 BMW Serie 5 525i A Fórmula 1	6	2.5	automático	gasolina premium	4
2006 BMW Serie 5 530i A Top Active Dynamic	6	3	automático	gasolina premium	4
2006 BMW Serie 5 M5	10	5	manual	gasolina premium	4
2006 BMW Serie 3 325Ci	6	2.5	manual	gasolina premium	2
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 BMW Serie 1 120iA Dynamic Automatico	4	2	automático	gasolina premium	5
2006 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 330iA	6	3	automático	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 3 M3 Cabrio Hard Top	6	3.2	manual	gasolina premium	2
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X3 2.5iA Lujo AT	6	2.5	automático	gasolina premium	5
2006 BMW X5 3.0i AT Top Line	6	3	automático	gasolina premium	5
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 5 550iA Top	8	4.8	automático	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 MINI MINI Checkmate	4	1.6	manual	gasolina premium	3
2006 BMW Serie 5 525i A Fórmula 1	6	2.5	automático	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2006 BMW Serie 3 325i	6	2.5	manual	gasolina premium	4
2006 BMW X5 4.4i AT Fórmula 1	8	4.4	automático	gasolina premium	5
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW X5 4.4i AT Lujo	8	4.4	automático	gasolina premium	5
2006 BMW Serie 5 530i A Fórmula 1	6	3	automático	gasolina premium	4
2006 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2006 BMW Serie 3 330i	6	3	manual	gasolina premium	4
2007 BMW Serie 1 120i Manual	4	2	manual	gasolina premium	5
2007 MINI MINI Cooper S Convertible Hot Chili AT	4	1.6	automático	gasolina premium	2
2007 BMW Serie 3 335iA Coupe Bi-Turbo	6	3	automático	gasolina premium	2
2007 BMW Serie 3 325iA	6	2.5	automático	gasolina premium	4
2007 BMW X5 3.0 si	6	3	automático	gasolina premium	5
2007 BMW Serie 3 325i Progressive	6	2.5	manual	gasolina premium	4
2007 BMW X3 3.0siA M Sport Automatico	6	3	automático	gasolina premium	5
2007 BMW Serie 3 330iA	6	3	automático	gasolina premium	4
2007 BMW Serie 3 335i Coupe Bi-Turbo	6	3	manual	gasolina premium	2
2007 MINI MINI Cooper Salt	4	1.6	manual	gasolina premium	3
2007 BMW X3 2.5siA AT	6	2.5	automático	gasolina premium	5
2007 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2007 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2007 BMW X5 3.0 si Premium 7 Seater Exclusive	6	3	automático	gasolina premium	5
2007 BMW Serie 3 325iA Premium	6	2.5	automático	gasolina premium	4
2007 BMW Serie 3 325i Coupe	6	2.5	manual	gasolina premium	2
2007 BMW Serie 3 325iA Premium	6	2.5	automático	gasolina premium	4
2007 BMW X3 2.5siA AT con quemacocos	6	2.5	automático	gasolina premium	5
2007 BMW X3 2.5siA AT	6	2.5	automático	gasolina premium	5
2007 BMW Serie 3 325iA	6	2.5	automático	gasolina premium	4
N/A
2007 MINI MINI Cooper S Convertible Chili AT	4	1.6	automático	gasolina premium	2
2007 BMW Serie 3 325iA	6	2.5	automático	gasolina premium	4
2007 BMW Z4 2.5siA	6	2.5	automático	gasolina premium	2
2007 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
2007 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2007 BMW X3 2.5siA AT con quemacocos	6	2.5	automático	gasolina premium	5
BMW Series 5 2007			Automatica	Gasolina	
