This is the collection of Ford vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford F-150 XL	6	4.2	manual	gasolina	2
2003 Ford Windstar 3 Puertas	6	3.8	automático	gasolina	
2003 Ford Focus LX Autom	4	2	automático	gasolina	4
2003 Ford F-250 XL	8	4.6	manual	gasolina	2
2003 Ford F-250 XLT	8	4.6	manual	gasolina	2
FORD Escape 2003	6		Automatica	Gasolina	
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
FORD Escape 2003			Automatica	Gasolina	
2003 Ford Focus High Automático	4	2	automático	gasolina	3
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Mustang Base,Manual	8	4.6	manual	gasolina	2
2003 Ford F-150 XL	6	4.2	manual	gasolina	2
2003 Ford Escape XLT,Piel	6	3	automático	gasolina	5
2003 Ford Focus LX Autom	4	2	automático	gasolina	4
2003 Ford Econoline Wagon V8,15 pasajeros	8	5.4	automático	gasolina	5
2003 Ford Thunderbird Removable Hard Top	8	3.9	automático	gasolina premium	2
2003 Ford F-150 XL	6	4.2	manual	gasolina	2
2003 Ford Econoline Wagon V8,15 pasajeros	8	5.4	automático	gasolina	5
2003 Ford Mustang (O) Base,Manual	8	4.6	manual	gasolina	2
2003 Ford Escape XLT,Tela	6	3	automático	gasolina	5
2003 Ford Expedition XLT Piel,4x2	8	4.6	automático	gasolina	5
FORD Escape 2003			Manual	Gasolina	
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
